proxy,ok,latency_ms,exit_ip,error
107.172.232.2:7890,True,2022,104.251.122.125,
62.113.112.246:10808,True,2117,51.158.61.178,
0.0.0.0:80,False,,,[Errno 111] Connection refused
1.179.147.5:52210,False,,,timed out
1.179.148.33:1080,False,,,timed out
1.179.148.9:36476,False,,,timed out
1.179.151.165:31948,False,,,[Errno 104] Connection reset by peer
1.179.172.45:31225,False,,,socks4 connect failed: 005b
1.179.199.130:33333,False,,,[Errno 111] Connection refused
1.20.254.32:4153,False,,,socks4 connect failed: 005b
1.212.157.114:4145,False,,,timed out
1.4.195.114:4145,False,,,timed out
1.53.202.56:8118,False,,,timed out
1.9.167.35:60489,False,,,[Errno 111] Connection refused
100.1.53.24:5678,False,,,timed out
101.109.245.200:4153,False,,,timed out
101.109.76.109:4145,False,,,[Errno 111] Connection refused
101.2.166.41:1080,False,,,timed out
101.2.166.73:1080,False,,,timed out
101.251.204.174:8080,False,,,timed out
101.255.150.238:1080,False,,,socks4 connect failed: 005b
101.32.65.42:8888,False,,,socks4 connect failed: 4854
101.36.112.205:1081,False,,,_ssl.c:993: The handshake operation timed out
101.51.121.29:4153,False,,,timed out
102.0.14.38:8080,False,,,timed out
102.0.21.148:8080,False,,,timed out
102.0.25.184:8080,False,,,timed out
102.0.25.36:8080,False,,,timed out
102.0.36.166:3128,False,,,timed out
102.141.30.2:33333,False,,,timed out
102.204.14.2:8080,False,,,timed out
102.209.18.28:8080,False,,,timed out
102.209.18.68:8080,False,,,timed out
102.209.76.109:8080,False,,,timed out
102.209.79.241:8080,False,,,timed out
102.213.179.113:8080,False,,,timed out
102.213.179.21:8080,False,,,timed out
102.214.147.147:4153,False,,,socks4 connect failed: 005b
102.216.117.18:8080,False,,,timed out
102.216.85.18:8080,False,,,timed out
102.219.209.86:3346,False,,,timed out
102.220.13.208:8080,False,,,timed out
102.36.127.249:1080,False,,,timed out
102.39.119.71:5678,False,,,timed out
102.64.116.1:4145,False,,,[Errno 104] Connection reset by peer
102.66.104.162:8865,False,,,timed out
103.101.216.70:8080,False,,,timed out
103.102.131.30:3128,False,,,timed out
103.102.141.40:4145,False,,,timed out
103.103.8.222:8080,False,,,timed out
103.106.219.213:8080,False,,,timed out
103.106.236.200:5678,False,,,timed out
103.109.158.235:4153,False,,,timed out
103.110.11.219:8080,False,,,timed out
103.112.163.131:8080,False,,,timed out
103.112.212.57:83,False,,,timed out
103.112.68.25:1080,False,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.ipify.org'. (_ssl.c:1010)"
103.116.145.67:33333,False,,,timed out
103.118.127.222:4153,False,,,timed out
103.118.85.75:1080,False,,,timed out
103.119.101.59:8080,False,,,timed out
103.119.60.219:1080,False,,,timed out
103.124.197.29:8080,False,,,timed out
103.127.204.116:27416,False,,,timed out
103.127.23.10:5678,False,,,[Errno 111] Connection refused
103.130.106.113:83,False,,,timed out
103.130.106.169:83,False,,,timed out
103.134.214.130:1648,False,,,timed out
103.134.214.131:1648,False,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
103.134.220.143:1080,False,,,timed out
103.134.239.210:5678,False,,,timed out
103.134.242.121:8080,False,,,timed out
103.135.189.129:84,False,,,timed out
103.135.189.173:82,False,,,timed out
103.135.189.2:83,False,,,timed out
103.135.189.6:84,False,,,timed out
103.136.106.13:1081,False,,,unexpected eof
103.136.170.55:8080,False,,,timed out
103.136.70.198:8888,False,,,timed out
103.137.84.17:83,False,,,timed out
103.138.123.65:8090,False,,,timed out
103.139.246.166:5678,False,,,timed out
103.140.205.201:1080,False,,,[Errno 111] Connection refused
103.141.70.48:8080,False,,,timed out
103.142.69.169:8885,False,,,timed out
103.143.11.246:9005,False,,,timed out
103.143.116.44:35010,False,,,timed out
103.143.214.81:5678,False,,,timed out
103.146.137.113:1081,False,,,[Errno 104] Connection reset by peer
103.146.137.157:1081,False,,,[Errno 104] Connection reset by peer
103.146.137.229:1081,False,,,[Errno 104] Connection reset by peer
103.146.137.233:1081,False,,,[Errno 104] Connection reset by peer
103.146.137.65:1081,False,,,timed out
103.146.137.69:1081,False,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
103.146.137.81:1081,False,,,timed out
103.146.170.244:5678,False,,,[Errno 104] Connection reset by peer
103.146.185.63:1081,False,,,timed out
103.146.2.151:33333,False,,,[Errno 111] Connection refused
103.146.26.31:5678,False,,,timed out
103.146.54.25:8080,False,,,timed out
103.148.178.10:80,False,,,timed out
103.148.216.121:8080,False,,,timed out
103.148.217.247:8080,False,,,timed out
103.15.245.139:8080,False,,,timed out
103.150.110.202:9969,False,,,timed out
103.151.47.22:46889,False,,,[Errno 111] Connection refused
103.151.75.21:2025,False,,,unexpected eof
103.152.238.179:1080,False,,,timed out
103.153.250.65:84,False,,,timed out
103.153.69.111:1080,False,,,timed out
